frame,row_id,type,landmark_index,x,y,z
2,2_pose_0,pose,0,0.5765581727027893,0.7219539880752563,-0.5273504257202148
2,2_pose_1,pose,1,0.6038355827331543,0.6641858816146851,-0.4889102876186371
2,2_pose_2,pose,2,0.6176272630691528,0.6687843799591064,-0.48889070749282837
2,2_pose_3,pose,3,0.6298563480377197,0.6745138764381409,-0.4888835549354553
2,2_pose_4,pose,4,0.5590032935142517,0.659605085849762,-0.48918166756629944
2,2_pose_5,pose,5,0.5445067286491394,0.6621062755584717,-0.4884001612663269
2,2_pose_6,pose,6,0.5321556925773621,0.6647919416427612,-0.48864060640335083
2,2_pose_7,pose,7,0.6502220034599304,0.716286301612854,-0.24842163920402527
2,2_pose_8,pose,8,0.5174442529678345,0.6994462609291077,-0.23140402138233185
2,2_pose_9,pose,9,0.6033774614334106,0.7980645298957825,-0.43544381856918335
2,2_pose_10,pose,10,0.5458346009254456,0.7864428758621216,-0.4321712851524353
2,2_pose_11,pose,11,0.7654866576194763,1.04865562915802,-0.11941076815128326
2,2_pose_12,pose,12,0.41289669275283813,1.005326271057129,-0.16461798548698425
2,2_pose_13,pose,13,0.8261369466781616,1.4233875274658203,-0.15060867369174957
2,2_pose_14,pose,14,0.349811851978302,1.4268609285354614,-0.19663825631141663
2,2_pose_15,pose,15,0.7684184312820435,1.6743038892745972,-0.33279556035995483
2,2_pose_16,pose,16,0.3593970537185669,1.6891077756881714,-0.5699687004089355
2,2_pose_17,pose,17,0.779427707195282,1.7672368288040161,-0.39884135127067566
2,2_pose_18,pose,18,0.3376680612564087,1.7906525135040283,-0.6643367409706116
2,2_pose_19,pose,19,0.7450041174888611,1.7436550855636597,-0.42269283533096313
2,2_pose_20,pose,20,0.3686870336532593,1.772154450416565,-0.7046274542808533
2,2_pose_21,pose,21,0.7351608872413635,1.7068829536437988,-0.3584795892238617
2,2_pose_22,pose,22,0.3839939832687378,1.729335904121399,-0.6050553321838379
2,2_pose_23,pose,23,0.6901764273643494,1.7781851291656494,-0.01592845283448696
2,2_pose_24,pose,24,0.45257386565208435,1.771788239479065,0.02101808600127697
2,2_pose_25,pose,25,0.6732660531997681,2.3961825370788574,-0.15662336349487305
2,2_pose_26,pose,26,0.4583713412284851,2.389376640319824,-0.05827260762453079
2,2_pose_27,pose,27,0.6655752062797546,2.9625089168548584,0.14054985344409943
2,2_pose_28,pose,28,0.45614784955978394,2.9459800720214844,0.07027500122785568
2,2_pose_29,pose,29,0.6723456382751465,3.0568480491638184,0.1449487805366516
2,2_pose_30,pose,30,0.4511815011501312,3.0409038066864014,0.06746247410774231
2,2_pose_31,pose,31,0.6162805557250977,3.134840488433838,-0.3011513948440552
2,2_pose_32,pose,32,0.48640576004981995,3.1139814853668213,-0.3789892792701721
4,4_pose_0,pose,0,0.5819894075393677,0.7243519425392151,-0.5248048305511475
4,4_pose_1,pose,1,0.6063172221183777,0.6648853421211243,-0.48574528098106384
4,4_pose_2,pose,2,0.6190911531448364,0.6691011786460876,-0.48567652702331543
4,4_pose_3,pose,3,0.630832314491272,0.6746009588241577,-0.48571062088012695
4,4_pose_4,pose,4,0.5630103945732117,0.6601228713989258,-0.4862508773803711
4,4_pose_5,pose,5,0.548772931098938,0.6622142195701599,-0.48547619581222534
4,4_pose_6,pose,6,0.5356298089027405,0.6648167371749878,-0.48568195104599
4,4_pose_7,pose,7,0.6502037644386292,0.7144293785095215,-0.24786873161792755
4,4_pose_8,pose,8,0.5182356238365173,0.6994255781173706,-0.23156258463859558
4,4_pose_9,pose,9,0.6069844961166382,0.7981855869293213,-0.4351961016654968
4,4_pose_10,pose,10,0.5512672662734985,0.7893026471138,-0.432041734457016
4,4_pose_11,pose,11,0.7652047872543335,1.0453706979751587,-0.14693136513233185
4,4_pose_12,pose,12,0.41604095697402954,1.0101138353347778,-0.16772939264774323
4,4_pose_13,pose,13,0.8261394500732422,1.402603030204773,-0.20971281826496124
4,4_pose_14,pose,14,0.3547675609588623,1.424052119255066,-0.28917020559310913
4,4_pose_15,pose,15,0.7866701483726501,1.664358139038086,-0.38749831914901733
4,4_pose_16,pose,16,0.37017518281936646,1.6916732788085938,-0.7470623850822449
4,4_pose_17,pose,17,0.8022116422653198,1.7575398683547974,-0.45535778999328613
4,4_pose_18,pose,18,0.35036224126815796,1.797152042388916,-0.8494251370429993
4,4_pose_19,pose,19,0.7723840475082397,1.7390518188476562,-0.4762069582939148
4,4_pose_20,pose,20,0.38335973024368286,1.7755192518234253,-0.8861562013626099
4,4_pose_21,pose,21,0.7591428160667419,1.704827070236206,-0.4113742709159851
4,4_pose_22,pose,22,0.3984605669975281,1.7330427169799805,-0.7818843126296997
4,4_pose_23,pose,23,0.6901651620864868,1.763562560081482,-0.02540205791592598
4,4_pose_24,pose,24,0.4544951021671295,1.7589056491851807,0.02998369373381138
4,4_pose_25,pose,25,0.6719691753387451,2.373558759689331,-0.08482137322425842
4,4_pose_26,pose,26,0.456870973110199,2.3613784313201904,0.02334105409681797
4,4_pose_27,pose,27,0.6648367643356323,2.927928924560547,0.2642439007759094
4,4_pose_28,pose,28,0.4558176100254059,2.9033117294311523,0.257413387298584
4,4_pose_29,pose,29,0.6715145707130432,3.0160281658172607,0.2734430432319641
4,4_pose_30,pose,30,0.45100778341293335,2.99068546295166,0.267316609621048
4,4_pose_31,pose,31,0.6171482801437378,3.098978281021118,-0.15462715923786163
4,4_pose_32,pose,32,0.4865662455558777,3.075212001800537,-0.1767139732837677
6,6_pose_0,pose,0,0.5859825015068054,0.7269942164421082,-0.4767025411128998
6,6_pose_1,pose,1,0.6091784238815308,0.665640115737915,-0.4350636899471283
6,6_pose_2,pose,2,0.6209758520126343,0.669636607170105,-0.43487825989723206
6,6_pose_3,pose,3,0.6325508952140808,0.6749118566513062,-0.4347984194755554
6,6_pose_4,pose,4,0.5657525658607483,0.6602773070335388,-0.43588191270828247
6,6_pose_5,pose,5,0.5512599945068359,0.6621881723403931,-0.4350596070289612
6,6_pose_6,pose,6,0.5374051928520203,0.6646617650985718,-0.43522533774375916
6,6_pose_7,pose,7,0.6503356695175171,0.7133595943450928,-0.21130988001823425
6,6_pose_8,pose,8,0.5183060765266418,0.6991471648216248,-0.20178823173046112
6,6_pose_9,pose,9,0.6092496514320374,0.7992762923240662,-0.3958313763141632
6,6_pose_10,pose,10,0.5536747574806213,0.7915393114089966,-0.39404767751693726
6,6_pose_11,pose,11,0.7651869058609009,1.0458531379699707,-0.14401452243328094
6,6_pose_12,pose,12,0.41447654366493225,1.0135399103164673,-0.16065837442874908
6,6_pose_13,pose,13,0.8261095881462097,1.4038759469985962,-0.20940789580345154
6,6_pose_14,pose,14,0.35751885175704956,1.4230843782424927,-0.28996720910072327
6,6_pose_15,pose,15,0.7907299399375916,1.677506685256958,-0.40111273527145386
6,6_pose_16,pose,16,0.3695647418498993,1.695512056350708,-0.7463153600692749
